step-by-step	ステップ
step	ステップ
states	承認	ステート
speed	速度
specification	仕様
somebody	誰
single server	単一サーバー
single node	単一ノード
simply	事前
shared state	共有状態
setup	設定
set value	値
semi-central hubs	準中央ハブ
scope	範囲
scheme	方式
retroactively	遡及的
reference	参照
records	グループ化
query definition	クエリ定義
queries	代わり
public keys	公開鍵
public	公開
proposed	トランザクション
project	プロジェクト
program	プログラム
process	プロセス
procedure	ストアド
private keys	秘密鍵
privacy	プライバシー
precisely	正確
policy	ポリシー
policies	ポリシー
picture	写真
peer or orderer	peerやorderer
peer nodes	peerノード
payments protocol	決済プロトコル
pattern	パターン
party	組織
outbound guarantees	インバウンド保証
out-of-the-box implementation	標準実装
other relevant information	関連情報
organizational units	組織単位
organization units	組織単位
orderer channel	ordererチャネル
opportunity	クエリ
operations	操作
operation	操作	制御
new transaction	新しいトランザクション
new member	新しいメンバー
new key	新しいキー
new concept	新しい概念
new channel	新しいチャネル
new block	新しいブロック
networks	ネットワーク
network participants	ネットワーク参加者
network information	ネットワーク情報
multiple business networks	ネットワーク
more nodes	ノード
military setup	軍事施設
memorandum	ネットワーク
membership operation architecture	メンバーシップ操作アーキテクチャ
member organizations	メンバー組織
member messages	メンバーメッセージ
mechanism	メカニズム
many more nodes	ノード
many loosely-coupled components	疎結合コンポーネント
logic part	ロジック部分
local ledger	ローカル台帳
listing	リスト
line	一連
lifecycle	ライフサイクル
libraries	ライブラリ
level	レベル
less visibility	動作状況
ledger systems	台帳システム
ledger data	台帳データ
layer	レイヤー
labs	演習
key/values pairs	ペア
invoking chaincode	コード	チェーンコード
invoked runs	実行
invoke	起動
invocation	呼び出し
intermediate CA	中間CA
intermediary	仲介者
interconnections	相互接続
interacting	やり取り
integrity	完全	完全性
initial value	初期値
infrastructure	インフラストラクチャ
identity validation functionality	ID検証機能
identifying	権限
history	歴史
highly	高い
higher levels	上位レベル
hierarchy	階層
hierarchical	階層	階層型システム
group	グループ	グループ化
general	一般
foundation	基盤
form	形式
flow	フロー
first one	最初
fairness	公平性
execution runtime	実行ランタイム
execution	実行
executed	実行
everybody	確実
entities	エンティティ
endorsing peer	真
endorsement phase	endorsementフェーズ
element	要素
distributing	配布
distributed networks	分散型ネットワーク
distributed ledger component	分散台帳コンポーネント
distributed communications networks	分散型通信ネットワーク
distributed combination	分散型組み合わせ
digital ledger	デジタル台帳
digital certificate	デジタル証明書
digital asset	デジタル資産
developer	開発者
developed	開発
designed	設計
design	設計	デザイン
deployment	デプロイ	電子署名
deploy transactions	deployトランザクション
deploy transaction	deployトランザクション
default	デフォルト
decentralized systems	非中央集権型システム
decentralized networks	非中央集権型ネットワーク
decentralized application	非中央集権型アプリケーション
customers/buyers	購入者
cryptographic system	暗号化システム
cryptographic material	暗号材料
cryptographic hash	暗号学的ハッシュ
copies	コピー
connections	接続
connected	接続
configuration requirement	設定要件
configuration information	コンフィギュレーション情報	設定情報
configuration chaincode	チェーンコード
configtx	設定項目
concepts	概念
computer	コンピューター
communication	コミュニケーション
collection	集まり
collecting	実行
coding	コーディング
co-inventor	次
client SDK	クライアントSDK
claim	リクエスト
channel ledger	チャネル台帳	チャネル台帳用
channel configuration	チャネル設定
challenges	課題
chaincode function	チェーンコード関数	チェーンコード機能
chain	チェーン
certificate data	証明書データ
centralized systems	中央集権型システム
centralized system	中央集権型システム
centralized node	中央集権型ノード
centralized networks	中央集権型ネットワーク
centralized network	中央集権型ネットワーク
centralized database	中央集権型データベース
central server	中央サーバー
central computer	中央コンピューター
central clearing house	中央決済機関
business networks	ネットワーク
business definition network	ビジネス定義ネットワーク
blocks according	ブロック
blocked	ブロック
blockchain participants	ブロックチェーン参加者
bitmask	ビットマスク
bad transactions	トランザクション
authorizes	認可
authentication	認証
authenticated	認証
associated data	関連データ
asset transfers	資産転送
asset	資産
apply	適用
application information	アプリケーション情報
anything	何
anyone	誰
amounts	金額
altered	変更
also distributed	分散
advancement	インターネット
administrators	管理	管理者
administrative domains	管理ドメイン
addressing	問題
access control	アクセス制御
World State part	ワールドステート部分
Usually	通常
Upgradability	アップグレード可能性
Transaction	トランザクション
Scalability	スケーラビリティ
Root CA	ルートCA
Reading	台帳
RW set	RWセット
Query transactions	queryトランザクション
Public key cryptography	公開鍵暗号
Peer processes	Peerプロセス
PKI section	PKIセクション
PKI infrastructure	PKIインフラストラクチャ
OU field	OUフィールド
Members	メンバー
Local MSPs	ローカルMSP
Local MSP configuration	ローカルMSP設定
Ledgers	台帳
KYC requirements	KYC要件
Invoke transactions	invokeトランザクション
Introduction	通信
Intermediate CAs	中間CA
Instead	代わり
Getting	コンセンサス
Further	ハンズオンラボ
Fabric channel	Fabricチャネル
Fabric blockchain network	Fabricブロックチェーンネットワーク
Execution Runtimes	実行ランタイム
Enrollment Certificates	登録証明書
Enrollment	登録
Distributed networks	分散型ネットワーク
Distributed Ledger Technology	分散台帳テクノロジー
Digital certificates	デジタル証明書
Delivery guarantees	デリバリー保証
Decentralized Solutions	非中央集権型ソリューション
Composer model	Composerモデル
Channel configuration	チャネル構成
Channel Setup	チャネル設定
Channel MSPs	チャネルMSP
Chain of Trust	信頼チェーン
Certificate authorities	認証局
Certificate Revocation Lists	証明書失効リスト
Centralized networks	中央集権型ネットワーク
Business Definition Network	ビジネス定義ネットワーク
Blockchain technology	ブロックチェーン技術
Architecture	アーキテクチャ
American computer scientist	コンピューター科学者
Access control lists	アクセス制御リスト
APIs and SDKs	APIやSoftware
A Closer Look	詳細
